year,level_1,level_2,value
1982,Other Ethnic Groups (Females),40 - 44 Years,719
1982,Other Ethnic Groups (Females),45 - 49 Years,663
1982,Other Ethnic Groups (Females),50 - 54 Years,590
1982,Other Ethnic Groups (Females),55 - 59 Years,513
1982,Other Ethnic Groups (Females),60 - 64 Years,395
1982,Other Ethnic Groups (Females),65 - 69 Years,299
1982,Other Ethnic Groups (Females),70 - 74 Years,202
1982,Other Ethnic Groups (Females),75 - 79 Years,na
1982,Other Ethnic Groups (Females),80 - 84 Years,na
1982,Other Ethnic Groups (Females),65 Years & Over,810
1982,Other Ethnic Groups (Females),70 Years & Over,511
1982,Other Ethnic Groups (Females),75 Years & Over,309
1982,Other Ethnic Groups (Females),80 Years & Over,na
1982,Other Ethnic Groups (Females),85 Years & Over,na
1983,Total Residents,0  -  4 Years,197758
1983,Total Residents,5  -  9 Years,197474
1983,Total Residents,10 - 14 Years,219605
1983,Total Residents,15 - 19 Years,250371
1983,Total Residents,20 - 24 Years,278286
1983,Total Residents,25 - 29 Years,270327
1983,Total Residents,30 - 34 Years,225225
1983,Total Residents,35 - 39 Years,160051
1983,Total Residents,40 - 44 Years,134040
1983,Total Residents,45 - 49 Years,109166
1983,Total Residents,50 - 54 Years,97296
1983,Total Residents,55 - 59 Years,78475
1983,Total Residents,60 - 64 Years,62662
1983,Total Residents,65 - 69 Years,49603
1983,Total Residents,70 - 74 Years,38665
1983,Total Residents,75 - 79 Years,na
1983,Total Residents,80 - 84 Years,na
1983,Total Residents,65 Years & Over,125428
1983,Total Residents,70 Years & Over,75825
1983,Total Residents,75 Years & Over,37160
1983,Total Residents,80 Years & Over,na
1983,Total Residents,85 Years & Over,na
1983,Total Male Residents,0  -  4 Years,102968
1983,Total Male Residents,5  -  9 Years,102192
1983,Total Male Residents,10 - 14 Years,113364
1983,Total Male Residents,15 - 19 Years,128092
1983,Total Male Residents,20 - 24 Years,142748
1983,Total Male Residents,25 - 29 Years,137716
1983,Total Male Residents,30 - 34 Years,113519
1983,Total Male Residents,35 - 39 Years,80546
1983,Total Male Residents,40 - 44 Years,66856
1983,Total Male Residents,45 - 49 Years,55024
1983,Total Male Residents,50 - 54 Years,49618
1983,Total Male Residents,55 - 59 Years,40295
1983,Total Male Residents,60 - 64 Years,31373
1983,Total Male Residents,65 - 69 Years,23633
1983,Total Male Residents,70 - 74 Years,17814
1983,Total Male Residents,75 - 79 Years,na
1983,Total Male Residents,80 - 84 Years,na
1983,Total Male Residents,65 Years & Over,56161
1983,Total Male Residents,70 Years & Over,32528
1983,Total Male Residents,75 Years & Over,14714
1983,Total Male Residents,80 Years & Over,na
1983,Total Male Residents,85 Years & Over,na
1983,Total Female Residents,0  -  4 Years,94790
1983,Total Female Residents,5  -  9 Years,95282
1983,Total Female Residents,10 - 14 Years,106242
1983,Total Female Residents,15 - 19 Years,122279
1983,Total Female Residents,20 - 24 Years,135539
1983,Total Female Residents,25 - 29 Years,132611
1983,Total Female Residents,30 - 34 Years,111706
1983,Total Female Residents,35 - 39 Years,79505
1983,Total Female Residents,40 - 44 Years,67184
1983,Total Female Residents,45 - 49 Years,54142
1983,Total Female Residents,50 - 54 Years,47679
1983,Total Female Residents,55 - 59 Years,38180
1983,Total Female Residents,60 - 64 Years,31289
1983,Total Female Residents,65 - 69 Years,25970
1983,Total Female Residents,70 - 74 Years,20850
1983,Total Female Residents,75 - 79 Years,na
1983,Total Female Residents,80 - 84 Years,na
1983,Total Female Residents,65 Years & Over,69267
1983,Total Female Residents,70 Years & Over,43297
1983,Total Female Residents,75 Years & Over,22447
1983,Total Female Residents,80 Years & Over,na
1983,Total Female Residents,85 Years & Over,na
1983,Total Malays,0  -  4 Years,33767
1983,Total Malays,5  -  9 Years,29129
1983,Total Malays,10 - 14 Years,34207
1983,Total Malays,15 - 19 Years,45139
1983,Total Malays,20 - 24 Years,46447
1983,Total Malays,25 - 29 Years,37641
1983,Total Malays,30 - 34 Years,26962
1983,Total Malays,35 - 39 Years,17952
1983,Total Malays,40 - 44 Years,14033
1983,Total Malays,45 - 49 Years,14614
1983,Total Malays,50 - 54 Years,12530
1983,Total Malays,55 - 59 Years,11261
1983,Total Malays,60 - 64 Years,8456
1983,Total Malays,65 - 69 Years,4742
1983,Total Malays,70 - 74 Years,3304
1983,Total Malays,75 - 79 Years,na
1983,Total Malays,80 - 84 Years,na
1983,Total Malays,65 Years & Over,10564
1983,Total Malays,70 Years & Over,5822
1983,Total Malays,75 Years & Over,2518
1983,Total Malays,80 Years & Over,na
1983,Total Malays,85 Years & Over,na
1983,Total Male Malays,0  -  4 Years,17484
1983,Total Male Malays,5  -  9 Years,15149
1983,Total Male Malays,10 - 14 Years,17493
1983,Total Male Malays,15 - 19 Years,22927
1983,Total Male Malays,20 - 24 Years,23750
1983,Total Male Malays,25 - 29 Years,18963
1983,Total Male Malays,30 - 34 Years,13254
1983,Total Male Malays,35 - 39 Years,8817
1983,Total Male Malays,40 - 44 Years,6504
1983,Total Male Malays,45 - 49 Years,7052
1983,Total Male Malays,50 - 54 Years,6171
1983,Total Male Malays,55 - 59 Years,6292
1983,Total Male Malays,60 - 64 Years,4862
1983,Total Male Malays,65 - 69 Years,2597
1983,Total Male Malays,70 - 74 Years,1760
1983,Total Male Malays,75 - 79 Years,na
1983,Total Male Malays,80 - 84 Years,na
1983,Total Male Malays,65 Years & Over,5697
1983,Total Male Malays,70 Years & Over,3100
1983,Total Male Malays,75 Years & Over,1340
1983,Total Male Malays,80 Years & Over,na
1983,Total Male Malays,85 Years & Over,na
1983,Total Female Malays,0  -  4 Years,16284
1983,Total Female Malays,5  -  9 Years,13980
1983,Total Female Malays,10 - 14 Years,16714
1983,Total Female Malays,15 - 19 Years,22212
1983,Total Female Malays,20 - 24 Years,22697
1983,Total Female Malays,25 - 29 Years,18677
1983,Total Female Malays,30 - 34 Years,13708
1983,Total Female Malays,35 - 39 Years,9134
1983,Total Female Malays,40 - 44 Years,7529
1983,Total Female Malays,45 - 49 Years,7562
1983,Total Female Malays,50 - 54 Years,6359
1983,Total Female Malays,55 - 59 Years,4969
1983,Total Female Malays,60 - 64 Years,3594
1983,Total Female Malays,65 - 69 Years,2145
1983,Total Female Malays,70 - 74 Years,1544
1983,Total Female Malays,75 - 79 Years,na
1983,Total Female Malays,80 - 84 Years,na
1983,Total Female Malays,65 Years & Over,4868
1983,Total Female Malays,70 Years & Over,2723
1983,Total Female Malays,75 Years & Over,1179
1983,Total Female Malays,80 Years & Over,na
1983,Total Female Malays,85 Years & Over,na
1983,Total Chinese,0  -  4 Years,148082
1983,Total Chinese,5  -  9 Years,155919
1983,Total Chinese,10 - 14 Years,169927
1983,Total Chinese,15 - 19 Years,185689
1983,Total Chinese,20 - 24 Years,209929
1983,Total Chinese,25 - 29 Years,213162
1983,Total Chinese,30 - 34 Years,182595
1983,Total Chinese,35 - 39 Years,131301
1983,Total Chinese,40 - 44 Years,110087
1983,Total Chinese,45 - 49 Years,85888
1983,Total Chinese,50 - 54 Years,74808
1983,Total Chinese,55 - 59 Years,58582
1983,Total Chinese,60 - 64 Years,47740
1983,Total Chinese,65 - 69 Years,41295
1983,Total Chinese,70 - 74 Years,33272
1983,Total Chinese,75 - 79 Years,na
1983,Total Chinese,80 - 84 Years,na
1983,Total Chinese,65 Years & Over,107590
1983,Total Chinese,70 Years & Over,66295
1983,Total Chinese,75 Years & Over,33023
1983,Total Chinese,80 Years & Over,na
1983,Total Chinese,85 Years & Over,na
1983,Total Male Chinese,0  -  4 Years,77270
1983,Total Male Chinese,5  -  9 Years,80644
1983,Total Male Chinese,10 - 14 Years,87894
1983,Total Male Chinese,15 - 19 Years,95119
1983,Total Male Chinese,20 - 24 Years,107875
1983,Total Male Chinese,25 - 29 Years,109061
1983,Total Male Chinese,30 - 34 Years,92365
1983,Total Male Chinese,35 - 39 Years,66144
1983,Total Male Chinese,40 - 44 Years,55041
1983,Total Male Chinese,45 - 49 Years,43406
1983,Total Male Chinese,50 - 54 Years,36829
1983,Total Male Chinese,55 - 59 Years,27866
1983,Total Male Chinese,60 - 64 Years,21795
1983,Total Male Chinese,65 - 69 Years,18474
1983,Total Male Chinese,70 - 74 Years,14651
1983,Total Male Chinese,75 - 79 Years,na
1983,Total Male Chinese,80 - 84 Years,na
1983,Total Male Chinese,65 Years & Over,45525
1983,Total Male Chinese,70 Years & Over,27051
1983,Total Male Chinese,75 Years & Over,12400
1983,Total Male Chinese,80 Years & Over,na
1983,Total Male Chinese,85 Years & Over,na
1983,Total Female Chinese,0  -  4 Years,70812
1983,Total Female Chinese,5  -  9 Years,75275
1983,Total Female Chinese,10 - 14 Years,82033
1983,Total Female Chinese,15 - 19 Years,90571
1983,Total Female Chinese,20 - 24 Years,102054
1983,Total Female Chinese,25 - 29 Years,104101
1983,Total Female Chinese,30 - 34 Years,90230
1983,Total Female Chinese,35 - 39 Years,65157
1983,Total Female Chinese,40 - 44 Years,55046
1983,Total Female Chinese,45 - 49 Years,42482
1983,Total Female Chinese,50 - 54 Years,37978
1983,Total Female Chinese,55 - 59 Years,30716
1983,Total Female Chinese,60 - 64 Years,25946
1983,Total Female Chinese,65 - 69 Years,22821
1983,Total Female Chinese,70 - 74 Years,18621
1983,Total Female Chinese,75 - 79 Years,na
1983,Total Female Chinese,80 - 84 Years,na
1983,Total Female Chinese,65 Years & Over,62066
1983,Total Female Chinese,70 Years & Over,39245
1983,Total Female Chinese,75 Years & Over,20624
1983,Total Female Chinese,80 Years & Over,na
1983,Total Female Chinese,85 Years & Over,na
1983,Total Indians,0  -  4 Years,13356
1983,Total Indians,5  -  9 Years,10668
1983,Total Indians,10 - 14 Years,13707
1983,Total Indians,15 - 19 Years,17528
1983,Total Indians,20 - 24 Years,19497
1983,Total Indians,25 - 29 Years,17147
1983,Total Indians,30 - 34 Years,13417
1983,Total Indians,35 - 39 Years,9153
1983,Total Indians,40 - 44 Years,8571
1983,Total Indians,45 - 49 Years,7387
1983,Total Indians,50 - 54 Years,8709
1983,Total Indians,55 - 59 Years,7573
1983,Total Indians,60 - 64 Years,5538
1983,Total Indians,65 - 69 Years,2991
1983,Total Indians,70 - 74 Years,1668
1983,Total Indians,75 - 79 Years,na
1983,Total Indians,80 - 84 Years,na
1983,Total Indians,65 Years & Over,5759
1983,Total Indians,70 Years & Over,2768
1983,Total Indians,75 Years & Over,1100
1983,Total Indians,80 Years & Over,na
1983,Total Indians,85 Years & Over,na
1983,Total Male Indians,0  -  4 Years,6891
1983,Total Male Indians,5  -  9 Years,5509
1983,Total Male Indians,10 - 14 Years,7058
1983,Total Male Indians,15 - 19 Years,8985
1983,Total Male Indians,20 - 24 Years,10003
1983,Total Male Indians,25 - 29 Years,8628
1983,Total Male Indians,30 - 34 Years,6844
1983,Total Male Indians,35 - 39 Years,4759
1983,Total Male Indians,40 - 44 Years,4667
1983,Total Male Indians,45 - 49 Years,3960
1983,Total Male Indians,50 - 54 Years,5967
1983,Total Male Indians,55 - 59 Years,5586
1983,Total Male Indians,60 - 64 Years,4215
1983,Total Male Indians,65 - 69 Years,2286
1983,Total Male Indians,70 - 74 Years,1211
1983,Total Male Indians,75 - 79 Years,na
1983,Total Male Indians,80 - 84 Years,na
1983,Total Male Indians,65 Years & Over,4267
1983,Total Male Indians,70 Years & Over,1981
1983,Total Male Indians,75 Years & Over,770
1983,Total Male Indians,80 Years & Over,na
1983,Total Male Indians,85 Years & Over,na
1983,Total Female Indians,0  -  4 Years,6464
1983,Total Female Indians,5  -  9 Years,5159
1983,Total Female Indians,10 - 14 Years,6649
1983,Total Female Indians,15 - 19 Years,8543
1983,Total Female Indians,20 - 24 Years,9494
1983,Total Female Indians,25 - 29 Years,8519
1983,Total Female Indians,30 - 34 Years,6573
1983,Total Female Indians,35 - 39 Years,4394
1983,Total Female Indians,40 - 44 Years,3905
1983,Total Female Indians,45 - 49 Years,3427
1983,Total Female Indians,50 - 54 Years,2742
1983,Total Female Indians,55 - 59 Years,1987
1983,Total Female Indians,60 - 64 Years,1324
1983,Total Female Indians,65 - 69 Years,705
1983,Total Female Indians,70 - 74 Years,458
1983,Total Female Indians,75 - 79 Years,na
1983,Total Female Indians,80 - 84 Years,na
1983,Total Female Indians,65 Years & Over,1493
1983,Total Female Indians,70 Years & Over,788
1983,Total Female Indians,75 Years & Over,330
1983,Total Female Indians,80 Years & Over,na
1983,Total Female Indians,85 Years & Over,na
1983,Other Ethnic Groups (Total),0  -  4 Years,2554
1983,Other Ethnic Groups (Total),5  -  9 Years,1759
1983,Other Ethnic Groups (Total),10 - 14 Years,1764
1983,Other Ethnic Groups (Total),15 - 19 Years,2015
1983,Other Ethnic Groups (Total),20 - 24 Years,2414
1983,Other Ethnic Groups (Total),25 - 29 Years,2378
1983,Other Ethnic Groups (Total),30 - 34 Years,2251
1983,Other Ethnic Groups (Total),35 - 39 Years,1646
1983,Other Ethnic Groups (Total),40 - 44 Years,1349
1983,Other Ethnic Groups (Total),45 - 49 Years,1277
1983,Other Ethnic Groups (Total),50 - 54 Years,1250
1983,Other Ethnic Groups (Total),55 - 59 Years,1060
1983,Other Ethnic Groups (Total),60 - 64 Years,927
1983,Other Ethnic Groups (Total),65 - 69 Years,575
1983,Other Ethnic Groups (Total),70 - 74 Years,422
1983,Other Ethnic Groups (Total),75 - 79 Years,na
1983,Other Ethnic Groups (Total),80 - 84 Years,na
1983,Other Ethnic Groups (Total),65 Years & Over,1516
1983,Other Ethnic Groups (Total),70 Years & Over,941
1983,Other Ethnic Groups (Total),75 Years & Over,519
1983,Other Ethnic Groups (Total),80 Years & Over,na
1983,Other Ethnic Groups (Total),85 Years & Over,na
1983,Other Ethnic Groups (Males),0  -  4 Years,1324
1983,Other Ethnic Groups (Males),5  -  9 Years,890
1983,Other Ethnic Groups (Males),10 - 14 Years,919
1983,Other Ethnic Groups (Males),15 - 19 Years,1062
1983,Other Ethnic Groups (Males),20 - 24 Years,1120
1983,Other Ethnic Groups (Males),25 - 29 Years,1065
1983,Other Ethnic Groups (Males),30 - 34 Years,1056
1983,Other Ethnic Groups (Males),35 - 39 Years,826
1983,Other Ethnic Groups (Males),40 - 44 Years,645
1983,Other Ethnic Groups (Males),45 - 49 Years,605
1983,Other Ethnic Groups (Males),50 - 54 Years,650
1983,Other Ethnic Groups (Males),55 - 59 Years,551
1983,Other Ethnic Groups (Males),60 - 64 Years,501
1983,Other Ethnic Groups (Males),65 - 69 Years,276
1983,Other Ethnic Groups (Males),70 - 74 Years,193
1983,Other Ethnic Groups (Males),75 - 79 Years,na
1983,Other Ethnic Groups (Males),80 - 84 Years,na
1983,Other Ethnic Groups (Males),65 Years & Over,673
1983,Other Ethnic Groups (Males),70 Years & Over,397
1983,Other Ethnic Groups (Males),75 Years & Over,204
1983,Other Ethnic Groups (Males),80 Years & Over,na
1983,Other Ethnic Groups (Males),85 Years & Over,na
1983,Other Ethnic Groups (Females),0  -  4 Years,1230
1983,Other Ethnic Groups (Females),5  -  9 Years,868
1983,Other Ethnic Groups (Females),10 - 14 Years,845
1983,Other Ethnic Groups (Females),15 - 19 Years,953
1983,Other Ethnic Groups (Females),20 - 24 Years,1293
1983,Other Ethnic Groups (Females),25 - 29 Years,1313
1983,Other Ethnic Groups (Females),30 - 34 Years,1195
1983,Other Ethnic Groups (Females),35 - 39 Years,820
1983,Other Ethnic Groups (Females),40 - 44 Years,705
1983,Other Ethnic Groups (Females),45 - 49 Years,672
1983,Other Ethnic Groups (Females),50 - 54 Years,600
1983,Other Ethnic Groups (Females),55 - 59 Years,509
1983,Other Ethnic Groups (Females),60 - 64 Years,426
1983,Other Ethnic Groups (Females),65 - 69 Years,299
1983,Other Ethnic Groups (Females),70 - 74 Years,228
1983,Other Ethnic Groups (Females),75 - 79 Years,na
1983,Other Ethnic Groups (Females),80 - 84 Years,na
1983,Other Ethnic Groups (Females),65 Years & Over,842
1983,Other Ethnic Groups (Females),70 Years & Over,543
1983,Other Ethnic Groups (Females),75 Years & Over,315
1983,Other Ethnic Groups (Females),80 Years & Over,na
1983,Other Ethnic Groups (Females),85 Years & Over,na
1984,Total Residents,0  -  4 Years,199148
1984,Total Residents,5  -  9 Years,193390
1984,Total Residents,10 - 14 Years,220588
1984,Total Residents,15 - 19 Years,238082
1984,Total Residents,20 - 24 Years,276698
1984,Total Residents,25 - 29 Years,278708
1984,Total Residents,30 - 34 Years,234721
1984,Total Residents,35 - 39 Years,176996
1984,Total Residents,40 - 44 Years,133379
1984,Total Residents,45 - 49 Years,116130
1984,Total Residents,50 - 54 Years,98518
1984,Total Residents,55 - 59 Years,83007
1984,Total Residents,60 - 64 Years,64118
1984,Total Residents,65 - 69 Years,50731
1984,Total Residents,70 - 74 Years,39820
1984,Total Residents,75 - 79 Years,na
1984,Total Residents,80 - 84 Years,na
1984,Total Residents,65 Years & Over,130222
1984,Total Residents,70 Years & Over,79491
1984,Total Residents,75 Years & Over,39671
1984,Total Residents,80 Years & Over,na
1984,Total Residents,85 Years & Over,na
1984,Total Male Residents,0  -  4 Years,103587
1984,Total Male Residents,5  -  9 Years,100235
1984,Total Male Residents,10 - 14 Years,114103
1984,Total Male Residents,15 - 19 Years,121754
1984,Total Male Residents,20 - 24 Years,141578
1984,Total Male Residents,25 - 29 Years,141934
1984,Total Male Residents,30 - 34 Years,118752
1984,Total Male Residents,35 - 39 Years,89216
1984,Total Male Residents,40 - 44 Years,66825
1984,Total Male Residents,45 - 49 Years,58376
1984,Total Male Residents,50 - 54 Years,49981
1984,Total Male Residents,55 - 59 Years,42367
1984,Total Male Residents,60 - 64 Years,32117
1984,Total Male Residents,65 - 69 Years,24228
1984,Total Male Residents,70 - 74 Years,18249
1984,Total Male Residents,75 - 79 Years,na
1984,Total Male Residents,80 - 84 Years,na
1984,Total Male Residents,65 Years & Over,58283
1984,Total Male Residents,70 Years & Over,34055
1984,Total Male Residents,75 Years & Over,15806
1984,Total Male Residents,80 Years & Over,na
1984,Total Male Residents,85 Years & Over,na
1984,Total Female Residents,0  -  4 Years,95561
1984,Total Female Residents,5  -  9 Years,93155
1984,Total Female Residents,10 - 14 Years,106485
1984,Total Female Residents,15 - 19 Years,116328
1984,Total Female Residents,20 - 24 Years,135120
1984,Total Female Residents,25 - 29 Years,136774
1984,Total Female Residents,30 - 34 Years,115968
1984,Total Female Residents,35 - 39 Years,87780
1984,Total Female Residents,40 - 44 Years,66554
1984,Total Female Residents,45 - 49 Years,57754
1984,Total Female Residents,50 - 54 Years,48537
1984,Total Female Residents,55 - 59 Years,40640
1984,Total Female Residents,60 - 64 Years,32001
1984,Total Female Residents,65 - 69 Years,26502
1984,Total Female Residents,70 - 74 Years,21572
1984,Total Female Residents,75 - 79 Years,na
1984,Total Female Residents,80 - 84 Years,na
1984,Total Female Residents,65 Years & Over,71939
1984,Total Female Residents,70 Years & Over,45437
1984,Total Female Residents,75 Years & Over,23865
1984,Total Female Residents,80 Years & Over,na
1984,Total Female Residents,85 Years & Over,na
1984,Total Malays,0  -  4 Years,35568
1984,Total Malays,5  -  9 Years,28510
1984,Total Malays,10 - 14 Years,33167
1984,Total Malays,15 - 19 Years,42258
1984,Total Malays,20 - 24 Years,47435
1984,Total Malays,25 - 29 Years,39202
1984,Total Malays,30 - 34 Years,28921
1984,Total Malays,35 - 39 Years,19502
1984,Total Malays,40 - 44 Years,13740
1984,Total Malays,45 - 49 Years,14787
1984,Total Malays,50 - 54 Years,12510
1984,Total Malays,55 - 59 Years,11735
1984,Total Malays,60 - 64 Years,8740
1984,Total Malays,65 - 69 Years,5277
1984,Total Malays,70 - 74 Years,3357
1984,Total Malays,75 - 79 Years,na
1984,Total Malays,80 - 84 Years,na
1984,Total Malays,65 Years & Over,11349
1984,Total Malays,70 Years & Over,6072
1984,Total Malays,75 Years & Over,2715
1984,Total Malays,80 Years & Over,na
1984,Total Malays,85 Years & Over,na
1984,Total Male Malays,0  -  4 Years,18425
1984,Total Male Malays,5  -  9 Years,14802
1984,Total Male Malays,10 - 14 Years,17093
1984,Total Male Malays,15 - 19 Years,21381
1984,Total Male Malays,20 - 24 Years,24328
1984,Total Male Malays,25 - 29 Years,19818
1984,Total Male Malays,30 - 34 Years,14317
1984,Total Male Malays,35 - 39 Years,9614
1984,Total Male Malays,40 - 44 Years,6415
1984,Total Male Malays,45 - 49 Years,7164
1984,Total Male Malays,50 - 54 Years,5956
1984,Total Male Malays,55 - 59 Years,6408
1984,Total Male Malays,60 - 64 Years,5001
1984,Total Male Malays,65 - 69 Years,2929
1984,Total Male Malays,70 - 74 Years,1794
1984,Total Male Malays,75 - 79 Years,na
1984,Total Male Malays,80 - 84 Years,na
1984,Total Male Malays,65 Years & Over,6154
1984,Total Male Malays,70 Years & Over,3225
1984,Total Male Malays,75 Years & Over,1431
1984,Total Male Malays,80 Years & Over,na
1984,Total Male Malays,85 Years & Over,na
1984,Total Female Malays,0  -  4 Years,17143
1984,Total Female Malays,5  -  9 Years,13707
1984,Total Female Malays,10 - 14 Years,16074
1984,Total Female Malays,15 - 19 Years,20877
1984,Total Female Malays,20 - 24 Years,23106
1984,Total Female Malays,25 - 29 Years,19383
1984,Total Female Malays,30 - 34 Years,14605
1984,Total Female Malays,35 - 39 Years,9888
1984,Total Female Malays,40 - 44 Years,7326
1984,Total Female Malays,45 - 49 Years,7623
1984,Total Female Malays,50 - 54 Years,6554
1984,Total Female Malays,55 - 59 Years,5327
1984,Total Female Malays,60 - 64 Years,3739
1984,Total Female Malays,65 - 69 Years,2348
1984,Total Female Malays,70 - 74 Years,1562
1984,Total Female Malays,75 - 79 Years,na
1984,Total Female Malays,80 - 84 Years,na
1984,Total Female Malays,65 Years & Over,5194
1984,Total Female Malays,70 Years & Over,2846
1984,Total Female Malays,75 Years & Over,1284
1984,Total Female Malays,80 Years & Over,na
1984,Total Female Malays,85 Years & Over,na
1984,Total Chinese,0  -  4 Years,146513
1984,Total Chinese,5  -  9 Years,152373
1984,Total Chinese,10 - 14 Years,172275
1984,Total Chinese,15 - 19 Years,177131
1984,Total Chinese,20 - 24 Years,206966
1984,Total Chinese,25 - 29 Years,218696
1984,Total Chinese,30 - 34 Years,189233
1984,Total Chinese,35 - 39 Years,145276
1984,Total Chinese,40 - 44 Years,109854
1984,Total Chinese,45 - 49 Years,92423
1984,Total Chinese,50 - 54 Years,76189
1984,Total Chinese,55 - 59 Years,62308
1984,Total Chinese,60 - 64 Years,48586
1984,Total Chinese,65 - 69 Years,41550
1984,Total Chinese,70 - 74 Years,34200
1984,Total Chinese,75 - 79 Years,na
1984,Total Chinese,80 - 84 Years,na
1984,Total Chinese,65 Years & Over,110968
1984,Total Chinese,70 Years & Over,69418
1984,Total Chinese,75 Years & Over,35218
1984,Total Chinese,80 Years & Over,na
1984,Total Chinese,85 Years & Over,na
1984,Total Male Chinese,0  -  4 Years,76360
1984,Total Male Chinese,5  -  9 Years,78971
1984,Total Male Chinese,10 - 14 Years,89199
1984,Total Male Chinese,15 - 19 Years,90791
1984,Total Male Chinese,20 - 24 Years,105994
1984,Total Male Chinese,25 - 29 Years,111711
1984,Total Male Chinese,30 - 34 Years,96083
1984,Total Male Chinese,35 - 39 Years,73374
1984,Total Male Chinese,40 - 44 Years,55092
1984,Total Male Chinese,45 - 49 Years,46657
1984,Total Male Chinese,50 - 54 Years,37675
1984,Total Male Chinese,55 - 59 Years,29678
1984,Total Male Chinese,60 - 64 Years,22189
1984,Total Male Chinese,65 - 69 Years,18482
1984,Total Male Chinese,70 - 74 Years,14931
1984,Total Male Chinese,75 - 79 Years,na
1984,Total Male Chinese,80 - 84 Years,na
1984,Total Male Chinese,65 Years & Over,46733
1984,Total Male Chinese,70 Years & Over,28251
1984,Total Male Chinese,75 Years & Over,13320
1984,Total Male Chinese,80 Years & Over,na
1984,Total Male Chinese,85 Years & Over,na
1984,Total Female Chinese,0  -  4 Years,70153
1984,Total Female Chinese,5  -  9 Years,73402
1984,Total Female Chinese,10 - 14 Years,83076
1984,Total Female Chinese,15 - 19 Years,86340
1984,Total Female Chinese,20 - 24 Years,100972
1984,Total Female Chinese,25 - 29 Years,106985
1984,Total Female Chinese,30 - 34 Years,93151
1984,Total Female Chinese,35 - 39 Years,71902
1984,Total Female Chinese,40 - 44 Years,54762
1984,Total Female Chinese,45 - 49 Years,45767
1984,Total Female Chinese,50 - 54 Years,38514
1984,Total Female Chinese,55 - 59 Years,32630
1984,Total Female Chinese,60 - 64 Years,26397
1984,Total Female Chinese,65 - 69 Years,23068
1984,Total Female Chinese,70 - 74 Years,19269
1984,Total Female Chinese,75 - 79 Years,na
1984,Total Female Chinese,80 - 84 Years,na
1984,Total Female Chinese,65 Years & Over,64234
1984,Total Female Chinese,70 Years & Over,41166
1984,Total Female Chinese,75 Years & Over,21897
1984,Total Female Chinese,80 Years & Over,na
1984,Total Female Chinese,85 Years & Over,na
1984,Total Indians,0  -  4 Years,14325
1984,Total Indians,5  -  9 Years,10713
1984,Total Indians,10 - 14 Years,13377
1984,Total Indians,15 - 19 Years,16798
1984,Total Indians,20 - 24 Years,19829
1984,Total Indians,25 - 29 Years,18329
1984,Total Indians,30 - 34 Years,14255
1984,Total Indians,35 - 39 Years,10367
1984,Total Indians,40 - 44 Years,8481
1984,Total Indians,45 - 49 Years,7614
1984,Total Indians,50 - 54 Years,8581
1984,Total Indians,55 - 59 Years,7865
1984,Total Indians,60 - 64 Years,5852
1984,Total Indians,65 - 69 Years,3271
1984,Total Indians,70 - 74 Years,1815
1984,Total Indians,75 - 79 Years,na
1984,Total Indians,80 - 84 Years,na
1984,Total Indians,65 Years & Over,6279
1984,Total Indians,70 Years & Over,3008
1984,Total Indians,75 Years & Over,1193
1984,Total Indians,80 Years & Over,na
1984,Total Indians,85 Years & Over,na
1984,Total Male Indians,0  -  4 Years,7384
1984,Total Male Indians,5  -  9 Years,5541
1984,Total Male Indians,10 - 14 Years,6880
1984,Total Male Indians,15 - 19 Years,8606
1984,Total Male Indians,20 - 24 Years,10091
1984,Total Male Indians,25 - 29 Years,9318
1984,Total Male Indians,30 - 34 Years,7279
1984,Total Male Indians,35 - 39 Years,5319
1984,Total Male Indians,40 - 44 Years,4687
1984,Total Male Indians,45 - 49 Years,3946
1984,Total Male Indians,50 - 54 Years,5708
1984,Total Male Indians,55 - 59 Years,5724
1984,Total Male Indians,60 - 64 Years,4420
1984,Total Male Indians,65 - 69 Years,2501
1984,Total Male Indians,70 - 74 Years,1326
1984,Total Male Indians,75 - 79 Years,na
1984,Total Male Indians,80 - 84 Years,na
1984,Total Male Indians,65 Years & Over,4658
1984,Total Male Indians,70 Years & Over,2157
1984,Total Male Indians,75 Years & Over,831
1984,Total Male Indians,80 Years & Over,na
1984,Total Male Indians,85 Years & Over,na
1984,Total Female Indians,0  -  4 Years,6940
1984,Total Female Indians,5  -  9 Years,5171
1984,Total Female Indians,10 - 14 Years,6496
1984,Total Female Indians,15 - 19 Years,8192
1984,Total Female Indians,20 - 24 Years,9739
1984,Total Female Indians,25 - 29 Years,9010
1984,Total Female Indians,30 - 34 Years,6976
1984,Total Female Indians,35 - 39 Years,5048
1984,Total Female Indians,40 - 44 Years,3794
1984,Total Female Indians,45 - 49 Years,3668
1984,Total Female Indians,50 - 54 Years,2872
1984,Total Female Indians,55 - 59 Years,2141
1984,Total Female Indians,60 - 64 Years,1432
1984,Total Female Indians,65 - 69 Years,769
1984,Total Female Indians,70 - 74 Years,489
1984,Total Female Indians,75 - 79 Years,na
1984,Total Female Indians,80 - 84 Years,na
1984,Total Female Indians,65 Years & Over,1620
1984,Total Female Indians,70 Years & Over,851
1984,Total Female Indians,75 Years & Over,362
1984,Total Female Indians,80 Years & Over,na
1984,Total Female Indians,85 Years & Over,na
1984,Other Ethnic Groups (Total),0  -  4 Years,2742
